Node,Chain,Round,Access Time (ms),Response Time (ms)
Node B,stream_node_b,Round-2,298.8,298.8
Node A,stream_node_a,Round-2,282.81,282.81
Node C,stream_node_c,Round-2,266.05,266.05
Node B,stream_node_b,Round-2,109.75,109.75
Node C,stream_node_c,Round-2,125.3,125.3
Node A,stream_node_a,Round-2,171.84,171.84
Node B,stream_node_b,Round-2,172.02,172.02
Node C,stream_node_c,Round-2,173.88,173.88
Node A,stream_node_a,Round-2,220.89,220.89
Node B,stream_node_b,Round-2,156.39,156.39
Node C,stream_node_c,Round-2,280.56,280.56
Node A,stream_node_a,Round-2,265.34,265.34
Node B,stream_node_b,Round-2,218.63,218.63
Node C,stream_node_c,Round-2,109.33,109.33
Node A,stream_node_a,Round-2,201.12,201.12
Node B,stream_node_b,Round-2,185.48,185.48
Node C,stream_node_c,Round-2,234.34,234.34
Node B,stream_node_b,Round-2,141.36,141.36
Node A,stream_node_a,Round-2,298.64,298.64
Node C,stream_node_c,Round-2,127.19,127.19
Node B,stream_node_b,Round-2,139.98,139.98
Node A,stream_node_a,Round-2,171.12,171.12
Node C,stream_node_c,Round-2,203.15,203.15
Node B,stream_node_b,Round-2,281.49,281.49
Node A,stream_node_a,Round-2,219.92,219.92
Node C,stream_node_c,Round-2,173.15,173.15
Node B,stream_node_b,Round-2,217.31,217.31
Node A,stream_node_a,Round-2,232.95,232.95
Node C,stream_node_c,Round-2,186.38,186.38
Node C,stream_node_c,Round-2,109.48,109.48
Node A,stream_node_a,Round-2,171.98,171.98
Node B,stream_node_b,Round-2,312.62,312.62
Node C,stream_node_c,Round-2,264.6,264.6
Node A,stream_node_a,Round-2,281.7,281.7
Node B,stream_node_b,Round-2,297.61,297.61
Node C,stream_node_c,Round-2,124.03,124.03
Node B,stream_node_b,Round-2,109.67,109.67
Node A,stream_node_a,Round-2,187.19,187.19
Node C,stream_node_c,Round-2,277.68,277.68
Node B,stream_node_b,Round-2,196.88,196.88
Node A,stream_node_a,Round-2,247.48,247.48
Node C,stream_node_c,Round-2,124.13,124.13
Node A,stream_node_a,Round-2,124.35,124.35
Node B,stream_node_b,Round-2,218.76,218.76
Node B,stream_node_b,Round-2,125.15,125.15
Node C,stream_node_c,Round-2,297.96,297.96
Node A,stream_node_a,Round-2,250.52,250.52
Node B,stream_node_b,Round-2,109.87,109.87
Node C,stream_node_c,Round-2,187.43,187.43
Node A,stream_node_a,Round-2,139.5,139.5
Node B,stream_node_b,Round-2,232.95,232.95
Node C,stream_node_c,Round-2,140.62,140.62
Node A,stream_node_a,Round-2,140.36,140.36
Node B,stream_node_b,Round-2,280.97,280.97
Node C,stream_node_c,Round-2,281.14,281.14
Node A,stream_node_a,Round-2,265.37,265.37
Node B,stream_node_b,Round-2,141.6,141.6
Node A,stream_node_a,Round-2,236.25,236.25
Node C,stream_node_c,Round-2,283.53,283.53
Node B,stream_node_b,Round-2,219.67,219.67
Node A,stream_node_a,Round-2,217.05,217.05
Node C,stream_node_c,Round-2,232.79,232.79
Node A,stream_node_a,Round-2,141.52,141.52
Node B,stream_node_b,Round-2,297.19,297.19
Node C,stream_node_c,Round-2,170.9,170.9
Node B,stream_node_b,Round-2,139.72,139.72
Node A,stream_node_a,Round-2,202.19,202.19
Node C,stream_node_c,Round-2,297.34,297.34
Node B,stream_node_b,Round-2,125.87,125.87
Node A,stream_node_a,Round-2,110.64,110.64
Node A,stream_node_a,Round-2,141.57,141.57
Node C,stream_node_c,Round-2,298.66,298.66
Node B,stream_node_b,Round-2,283.25,283.25
Node A,stream_node_a,Round-2,171.39,171.39
Node C,stream_node_c,Round-2,109.53,109.53
Node B,stream_node_b,Round-2,295.53,295.53
Node A,stream_node_a,Round-2,140.11,140.11
Node C,stream_node_c,Round-2,186.81,186.81
Node B,stream_node_b,Round-2,235.91,235.91
Node A,stream_node_a,Round-2,298.54,298.54
Node C,stream_node_c,Round-2,252.13,252.13
Node C,stream_node_c,Round-2,123.9,123.9
Node B,stream_node_b,Round-2,279.57,279.57
Node A,stream_node_a,Round-2,201.01,201.01
Node C,stream_node_c,Round-2,109.83,109.83
Node B,stream_node_b,Round-2,156.84,156.84
Node A,stream_node_a,Round-2,203.94,203.94
Node A,stream_node_a,Round-2,156.89,156.89
Node C,stream_node_c,Round-2,312.87,312.87
Node B,stream_node_b,Round-2,266.14,266.14
Node C,stream_node_c,Round-2,156.71,156.71
Node A,stream_node_a,Round-2,203.59,203.59
Node B,stream_node_b,Round-2,172.65,172.65
Node C,stream_node_c,Round-2,109.42,109.42
Node B,stream_node_b,Round-2,141.14,141.14
Node A,stream_node_a,Round-2,283.18,283.18
Node B,stream_node_b,Round-2,170.2,170.2
Node C,stream_node_c,Round-2,264.56,264.56
Node A,stream_node_a,Round-2,107.04,107.04
Node A,stream_node_a,Round-2,127.67,127.67
Node B,stream_node_b,Round-2,268.8,268.8
Node C,stream_node_c,Round-2,299.64,299.64
Node A,stream_node_a,Round-2,126.69,126.69
Node B,stream_node_b,Round-2,124.8,124.8
Node C,stream_node_c,Round-2,187.99,187.99
Node A,stream_node_a,Round-2,220.48,220.48
Node C,stream_node_c,Round-2,157.33,157.33
Node B,stream_node_b,Round-2,283.12,283.12
Node A,stream_node_a,Round-2,124.93,124.93
Node C,stream_node_c,Round-2,141.88,141.88
Node A,stream_node_a,Round-2,172.32,172.32
Node B,stream_node_b,Round-2,267.23,267.23
Node C,stream_node_c,Round-2,267.11,267.11
Node A,stream_node_a,Round-2,125.14,125.14
Node B,stream_node_b,Round-2,264.45,264.45
Node C,stream_node_c,Round-2,142.07,142.07
Node A,stream_node_a,Round-2,204.74,204.74
Node B,stream_node_b,Round-2,266.01,266.01
Node A,stream_node_a,Round-2,123.61,123.61
Node C,stream_node_c,Round-2,201.95,201.95
Node A,stream_node_a,Round-2,219.14,219.14
Node C,stream_node_c,Round-2,233.69,233.69
Node B,stream_node_b,Round-2,313.02,313.02
Node A,stream_node_a,Round-2,108.78,108.78
Node C,stream_node_c,Round-2,140.59,140.59
Node B,stream_node_b,Round-2,203.52,203.52
Node A,stream_node_a,Round-2,125.09,125.09
Node C,stream_node_c,Round-2,124.17,124.17
Node B,stream_node_b,Round-2,139.89,139.89
Node A,stream_node_a,Round-2,110.25,110.25
Node C,stream_node_c,Round-2,249.52,249.52
Node B,stream_node_b,Round-2,186.78,186.78
Node A,stream_node_a,Round-2,233.45,233.45
Node C,stream_node_c,Round-2,250.0,250.0
Node B,stream_node_b,Round-2,298.59,298.59
Node A,stream_node_a,Round-2,189.57,189.57
Node B,stream_node_b,Round-2,111.01,111.01
Node C,stream_node_c,Round-2,236.05,236.05
Node A,stream_node_a,Round-2,189.51,189.51
Node B,stream_node_b,Round-2,219.1,219.1
Node A,stream_node_a,Round-2,156.82,156.82
Node C,stream_node_c,Round-2,298.61,298.61
Node B,stream_node_b,Round-2,171.02,171.02
Node A,stream_node_a,Round-2,297.3,297.3
Node C,stream_node_c,Round-2,219.78,219.78
Node B,stream_node_b,Round-2,250.95,250.95
Node A,stream_node_a,Round-2,204.92,204.92
Node C,stream_node_c,Round-2,235.67,235.67
Node B,stream_node_b,Round-2,187.93,187.93
Node A,stream_node_a,Round-2,204.12,204.12
Node C,stream_node_c,Round-2,187.86,187.86
Node B,stream_node_b,Round-2,140.12,140.12
Node C,stream_node_c,Round-2,204.92,204.92
Node A,stream_node_a,Round-2,282.3,282.3
Node B,stream_node_b,Round-2,172.02,172.02
Node C,stream_node_c,Round-2,185.81,185.81
Node A,stream_node_a,Round-2,311.25,311.25
Node B,stream_node_b,Round-2,280.48,280.48
Node C,stream_node_c,Round-2,250.64,250.64
Node B,stream_node_b,Round-2,283.45,283.45
Node A,stream_node_a,Round-2,283.45,283.45
Node C,stream_node_c,Round-2,236.07,236.07
Node B,stream_node_b,Round-2,221.67,221.67
Node A,stream_node_a,Round-2,283.93,283.93
Node C,stream_node_c,Round-2,298.7,298.7
Node B,stream_node_b,Round-2,188.16,188.16
Node A,stream_node_a,Round-2,140.89,140.89
Node B,stream_node_b,Round-2,124.34,124.34
Node A,stream_node_a,Round-2,139.93,139.93
Node C,stream_node_c,Round-2,249.42,249.42
Node A,stream_node_a,Round-2,141.36,141.36
Node B,stream_node_b,Round-2,297.58,297.58
Node C,stream_node_c,Round-2,297.94,297.94
Node A,stream_node_a,Round-2,171.71,171.71
Node B,stream_node_b,Round-2,235.76,235.76
Node A,stream_node_a,Round-2,141.1,141.1
Node C,stream_node_c,Round-2,282.36,282.36
Node B,stream_node_b,Round-2,202.55,202.55
Node A,stream_node_a,Round-2,170.79,170.79
Node C,stream_node_c,Round-2,232.57,232.57
Node B,stream_node_b,Round-2,154.94,154.94
Node A,stream_node_a,Round-2,139.7,139.7
Node C,stream_node_c,Round-2,282.27,282.27
Node B,stream_node_b,Round-2,157.33,157.33
Node A,stream_node_a,Round-2,297.53,297.53
Node C,stream_node_c,Round-2,234.66,234.66
Node B,stream_node_b,Round-2,203.66,203.66
Node A,stream_node_a,Round-2,297.54,297.54
Node C,stream_node_c,Round-2,218.32,218.32
Node B,stream_node_b,Round-2,295.63,295.63
Node A,stream_node_a,Round-2,188.19,188.19
Node B,stream_node_b,Round-2,139.49,139.49
Node C,stream_node_c,Round-2,264.73,264.73
Node A,stream_node_a,Round-2,109.25,109.25
Node C,stream_node_c,Round-2,221.02,221.02
Node A,stream_node_a,Round-2,174.07,174.07
Node B,stream_node_b,Round-2,300.4,300.4
Node C,stream_node_c,Round-2,156.5,156.5
Node B,stream_node_b,Round-2,187.18,187.18
Node A,stream_node_a,Round-2,313.47,313.47
Node C,stream_node_c,Round-2,141.69,141.69
Node B,stream_node_b,Round-2,203.52,203.52
Node A,stream_node_a,Round-2,125.32,125.32
Node C,stream_node_c,Round-2,213.05,213.05
Node A,stream_node_a,Round-2,121.88,121.88
Node B,stream_node_b,Round-2,181.88,181.88
Node C,stream_node_c,Round-2,139.1,139.1
Node A,stream_node_a,Round-2,256.07,256.07
Node B,stream_node_b,Round-2,277.32,277.32
Node C,stream_node_c,Round-2,214.47,214.47
Node C,stream_node_c,Round-2,119.36,119.36
Node A,stream_node_a,Round-2,296.6,296.6
Node B,stream_node_b,Round-2,304.4,304.4
Node A,stream_node_a,Round-2,193.78,193.78
Node B,stream_node_b,Round-2,173.12,173.12
Node C,stream_node_c,Round-2,288.16,288.16
Node B,stream_node_b,Round-2,162.66,162.66
Node A,stream_node_a,Round-2,279.12,279.12
Node C,stream_node_c,Round-2,290.5,290.5
Node B,stream_node_b,Round-2,307.85,307.85
Node C,stream_node_c,Round-2,159.84,159.84
Node A,stream_node_a,Round-2,250.51,250.51
Node B,stream_node_b,Round-2,236.31,236.31
Node C,stream_node_c,Round-2,236.89,236.89
Node C,stream_node_c,Round-2,186.59,186.59
Node B,stream_node_b,Round-2,279.58,279.58
Node B,stream_node_b,Round-2,202.13,202.13
Node C,stream_node_c,Round-2,295.2,295.2
Node C,stream_node_c,Round-2,156.05,156.05
Node B,stream_node_b,Round-2,218.4,218.4
Node C,stream_node_c,Round-2,139.39,139.39
Node B,stream_node_b,Round-2,280.91,280.91
Node C,stream_node_c,Round-2,313.7,313.7
Node C,stream_node_c,Round-2,149.23,149.23
Node C,stream_node_c,Round-2,207.3,207.3
